nome_mun,curso,ano,comunicacao,ac_convite,status,obs
Alagoinhas,NISP I - BASICO - 08/2023,2023,SEI,,Atendido,
Amargosa,NISP I - BASICO - 08/2023,2023,,,Atendido,
Cachoeira,NISP I - BASICO - 08/2023,2023,,,Atendido,
Cairu,NISP I - BASICO - 08/2023,2023,,,Atendido,
Candeias,NISP I - BASICO - 08/2023,2023,,,Atendido,
Cruz Das Almas,NISP I - BASICO - 08/2023,2023,,,Atendido,
Esplanada,NISP I - BASICO - 08/2023,2023,,,Atendido,
Eunápolis,NISP I - BASICO - 08/2023,2023,,,Atendido,
Fátima,NISP I - BASICO - 08/2023,2023,,,Atendido,
Feira De Santana,NISP I - BASICO - 08/2023,2023,,,Atendido,
Gandu,NISP I - BASICO - 08/2023,2023,,,Atendido,
Ilhéus,NISP I - BASICO - 08/2023,2023,,,Atendido,
Itabuna,NISP I - BASICO - 08/2023,2023,,,Atendido,
Jacobina,NISP I - BASICO - 08/2023,2023,,,Atendido,
Jequié,NISP I - BASICO - 08/2023,2023,,,Não Atendido,
Lauro De Freitas,NISP I - BASICO - 08/2023,2023,,,Atendido,
Luís Eduardo Magalhães,NISP I - BASICO - 08/2023,2023,,,Atendido,
Porto Seguro,NISP I - BASICO - 08/2023,2023,,,Atendido,
Salvador,NISP I - BASICO - 08/2023,2023,,,Atendido,
Santa Inês,NISP I - BASICO - 08/2023,2023,,,Atendido,
Santo Antônio De Jesus,NISP I - BASICO - 08/2023,2023,,,Atendido,
Serrinha,NISP I - BASICO - 08/2023,2023,,,Atendido,
Teixeira De Freitas,NISP I - BASICO - 08/2023,2023,,,Atendido,
Vitória Da Conquista,NISP I - BASICO - 08/2023,2023,,,Atendido,
Água Fria,NISP II - BASICO - 05/2024,2024,,,Atendido,
Alagoinhas,NISP II - BASICO - 05/2024,2024,,,Atendido,
Amargosa,NISP II - BASICO - 05/2024,2024,,,Atendido,
Cachoeira,NISP II - BASICO - 05/2024,2024,,,Atendido,
Cairu,NISP II - BASICO - 05/2024,2024,,,Atendido,
Candeal,NISP II - BASICO - 05/2024,2024,,,Atendido,
Candeias,NISP II - BASICO - 05/2024,2024,,,Atendido,
Euclides Da Cunha,NISP II - BASICO - 05/2024,2024,,,Atendido,
Eunápolis,NISP II - BASICO - 05/2024,2024,,,Atendido,
Fátima,NISP II - BASICO - 05/2024,2024,,,Atendido,
Feira De Santana,NISP II - BASICO - 05/2024,2024,,,Atendido,
Gandu,NISP II - BASICO - 05/2024,2024,,,Não Atendido,Efetivo convocado não compareceu
Ichu,NISP II - BASICO - 05/2024,2024,,,Não Atendido,Efetivo convocado não compareceu
Ilhéus,NISP II - BASICO - 05/2024,2024,,,Atendido,
Itagi,NISP II - BASICO - 05/2024,2024,,,Atendido,
Jequié,NISP II - BASICO - 05/2024,2024,,,Atendido,
Jussari,NISP II - BASICO - 05/2024,2024,,,Atendido,
Lauro De Freitas,NISP II - BASICO - 05/2024,2024,,,Atendido,
Luís Eduardo Magalhães,NISP II - BASICO - 05/2024,2024,,,Atendido,
Mata De São João,NISP II - BASICO - 05/2024,2024,,,Atendido,
Muritiba,NISP II - BASICO - 05/2024,2024,,,Atendido,
Pojuca,NISP II - BASICO - 05/2024,2024,,,Atendido,
Porto Seguro,NISP II - BASICO - 05/2024,2024,,,Atendido,
Ribeira Do Pombal,NISP II - BASICO - 05/2024,2024,,,Atendido,
Salvador,NISP II - BASICO - 05/2024,2024,,,Atendido,
Santo Antônio De Jesus,NISP II - BASICO - 05/2024,2024,,,Atendido,
Teixeira De Freitas,NISP II - BASICO - 05/2024,2024,,,Atendido,
Vitória Da Conquista,NISP II - BASICO - 05/2024,2024,,,Atendido,
Amargosa,NISP III - BASICO - 04/2025,2025,,,Atendido,
Brejões,NISP III - BASICO - 04/2025,2025,,,Atendido,
Cairu,NISP III - BASICO - 04/2025,2025,,,Atendido,
Encruzilhada,NISP III - BASICO - 04/2025,2025,,,Atendido,
Eunápolis,NISP III - BASICO - 04/2025,2025,,,Atendido,
Feira De Santana,NISP III - BASICO - 04/2025,2025,,,Atendido,
Itabela,NISP III - BASICO - 04/2025,2025,,,Não Atendido,Efetivo convocado não compareceu
