nome,possui_guarda,efetivo,prefeito,email_pref,telefone_pref,chefe_gm,email_gm,telefone_gm,guarda_armada,populacao,obs_mun,territorio
Abaíra,SIM,6,,prefeituradeabaira@hotmail.com,77 98111-7220,,,,NÃO,7452,,Chapada Diamantina
Abaré,SIM,1,,governomunicipal@abare.ba.gov.br,(75) 3287-2222,,,,NÃO,18240,,Itaparica
Acajutiba,SIM,4,,contato@acajutiba.ba.gov.br,75 3434-2021,,,,NÃO,14215,,Litoral Norte E Agreste Baiano
Adustina,SIM,26,,prefeitura@adustina.ba.gov.br,(75)3496-2148,,,,NÃO,14554,,Semiárido Nordeste Ii
Água Fria,SIM,9,,chefe.gabinete@aguafria.ba.gov.br,"(75) 3294-2109
08002401022",,,,SIM,14871,,Portal Do Sertão
Aiquara,SIM,7,,ouvidoria@alcobaca.ba.gov.br,(73) 3547-2000,,,,NÃO,4586,,Médio Rio De Contas
Alagoinhas,SIM,156,,joaquimneto@alagoinhas.ba.gov.br,(75) 3423-8324,,gcm@alagoinhas.ba.gov.br,,SIM,160662,,Litoral Norte E Agreste Baiano
Alcobaça,NÃO,,,,(73) 3191-1170,,,,NÃO,25494,,Extremo Sul
Almadina,SIM,17,,prefeitura.almadina@hotmail.com,(73)98123-4652,,,,NÃO,5327,,Litoral Sul
Amargosa,SIM,36,,gabinete@amargosa.ba.gov.br,"(75) 3634-3977
(75) 3512-7811",,gcm@amargosa.ba.gov.br,,SIM,38478,,Vale Do Jiquiriça
Amélia Rodrigues,SIM,40,,,,,,,NÃO,24848,,Portal Do Sertão
América Dourada,SIM,9,,,,,,,NÃO,15583,,Irecê
Anagé,NÃO,,,,,,,,NÃO,26715,,Vitória Da Conquista
Andaraí,SIM,5,,,,,,,NÃO,13531,,Chapada Diamantina
Andorinha,NÃO,,,,,,,,NÃO,15485,,Piemonte Norte Do Itapicuru
Angical,SIM,34,,,,,,,NÃO,14178,,Bacia Do Rio Grande
Anguera,SIM,1,,,,,,,NÃO,11456,,Portal Do Sertão
Antas,NÃO,41,,,,,,,NÃO,15061,,Semiárido Nordeste Ii
Antônio Cardoso,SIM,11,,,,,,,NÃO,11501,,Portal Do Sertão
Antônio Gonçalves,SIM,9,,,,,,,NÃO,11236,,Piemonte Norte Do Itapicuru
Aporá,SIM,41,,,,,,,NÃO,16379,,Litoral Norte E Agreste Baiano
Apuarema,SIM,6,,,,,,,NÃO,7114,,Médio Rio De Contas
Araças,NÃO,,,,,,,,NÃO,14422,,Litoral Norte E Agreste Baiano
Aracatu,NÃO,,,,,,,,NÃO,11946,,Vitória Da Conquista
Araci,SIM,36,,,,,,,NÃO,50336,,Sisal
Aramari,SIM,4,,,,,,,NÃO,10122,,Litoral Norte E Agreste Baiano
Arataca,SIM,2,,,,,,,NÃO,10463,,Litoral Sul
Aratuípe,NÃO,,,,,,,,NÃO,8981,,Baixo Sul
Aurelino Leal,NÃO,,,,,,,,NÃO,11409,,Litoral Sul
Baianópolis,SIM,17,,,,,,,NÃO,14110,,Bacia Do Rio Grande
Baixa Grande,SIM,12,,prefeituradebaixagrande@gmail.com,(74)3258-1149/1125/1165,,,,NÃO,18680,,Bacia Do Jacuípe
Banzaê,SIM,13,,,,,,,NÃO,12309,,Semiárido Nordeste Ii
